"Date","Price","Open","High","Low","Vol.","Change %"
"04/10/2019","386.68","385.81","387.13","385.70","171.08M","0.26%"
"04/09/2019","385.68","387.62","389.11","385.36","181.00M","-0.47%"
"04/08/2019","387.51","388.46","388.50","386.84","154.64M","-0.19%"
"04/05/2019","388.23","387.81","388.94","387.54","178.18M","0.09%"
"04/04/2019","387.87","388.48","388.65","387.18","180.96M","-0.27%"
"04/03/2019","388.92","386.08","388.92","386.08","230.07M","1.01%"
"04/02/2019","385.03","383.19","385.68","383.19","190.68M","0.35%"
"04/01/2019","383.67","379.72","383.79","379.72","205.88M","1.21%"
"03/29/2019","379.09","376.73","379.55","376.73","244.98M","0.60%"
"03/28/2019","376.84","377.12","378.81","376.64","173.08M","-0.12%"
"03/27/2019","377.28","377.50","379.59","375.69","219.72M","0.02%"
"03/26/2019","377.20","374.84","377.87","374.11","175.48M","0.77%"
"03/25/2019","374.33","374.82","375.47","372.96","175.74M","-0.45%"
"03/22/2019","376.03","381.09","381.82","375.61","231.04M","-1.22%"
"03/21/2019","380.69","380.27","381.29","378.48","187.05M","-0.04%"
"03/20/2019","380.84","383.67","383.70","380.84","199.37M","-0.90%"
"03/19/2019","384.29","382.41","385.33","382.31","180.21M","0.57%"
"03/18/2019","382.11","381.22","382.19","381.22","191.03M","0.27%"
"03/15/2019","381.10","378.22","381.47","378.22","393.77M","0.68%"
"03/14/2019","378.52","375.81","379.07","375.81","210.10M","0.78%"
"03/13/2019","375.60","373.03","375.61","372.80","195.57M","0.63%"
"03/12/2019","373.25","374.65","375.20","372.37","208.94M","-0.06%"
"03/11/2019","373.47","370.99","373.63","370.88","177.15M","0.78%"
"03/08/2019","370.57","372.60","372.60","369.75","204.16M","-0.89%"
"03/07/2019","373.88","374.95","376.34","372.37","245.42M","-0.43%"
"03/06/2019","375.48","375.58","376.85","374.98","213.25M","-0.04%"
"03/05/2019","375.64","374.90","376.12","373.72","205.41M","0.15%"
"03/04/2019","375.09","375.04","376.32","375.04","171.80M","0.23%"
"03/01/2019","374.24","373.48","375.67","373.48","201.37M","0.39%"
"02/28/2019","372.80","371.19","373.19","370.47","261.02M","0.06%"
"02/27/2019","372.58","372.96","373.06","371.25","224.17M","-0.28%"
"02/26/2019","373.64","372.04","374.11","370.28","199.94M","0.39%"
"02/25/2019","372.18","371.90","373.18","371.56","182.65M","0.26%"
"02/22/2019","371.23","370.27","371.90","369.87","185.49M","0.22%"
"02/21/2019","370.41","371.12","371.72","369.48","214.40M","-0.28%"
"02/20/2019","371.46","369.38","371.70","369.26","211.27M","0.67%"
"02/19/2019","368.97","369.40","370.02","367.36","174.29M","-0.22%"
"02/18/2019","369.78","368.90","370.14","368.66","148.50M","0.23%"
"02/15/2019","368.94","363.83","369.27","363.24","245.67M","1.41%"
"02/14/2019","363.80","365.42","367.06","363.48","185.94M","-0.32%"
"02/13/2019","364.97","363.24","365.82","363.24","178.79M","0.60%"
"02/12/2019","362.78","362.07","363.68","362.07","167.31M","0.46%"
"02/11/2019","361.12","358.87","361.83","358.87","169.84M","0.85%"
"02/08/2019","358.07","359.75","360.77","357.37","188.12M","-0.56%"
"02/07/2019","360.08","364.73","365.25","360.08","221.76M","-1.49%"
"02/06/2019","365.52","364.86","365.91","364.14","188.34M","0.15%"
"02/05/2019","364.99","359.94","364.99","359.94","208.45M","1.41%"
"02/04/2019","359.92","359.80","360.20","358.28","187.58M","0.06%"
