Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;BAU006__Gebaeude/Gebaeudeteile__Anzahl;FLC002__Nutzflaeche__1000_qm;FLC001__Wohnflaeche__1000_qm;WOHN01__Wohnungen__Anzahl
31141;Statistik des Bauabgangs;JAHR;Jahr;2017;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBLAGER01;  Warenlagergebäude;1364;917;17;177
31141;Statistik des Bauabgangs;JAHR;Jahr;2017;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;HOTELSGAST;  Hotels und Gaststätten;554;334;26;328
31141;Statistik des Bauabgangs;JAHR;Jahr;2017;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBNWOHNSONST01;  Sonstige Nichtwohngebäude;1175;734;17;186
31141;Statistik des Bauabgangs;JAHR;Jahr;2017;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;;Insgesamt;17543;7233;1906;24867
31141;Statistik des Bauabgangs;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBW01;  Wohngebäude mit 1 Wohnung;x;x;x;x
31141;Statistik des Bauabgangs;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBW02;  Wohngebäude mit 2 Wohnungen;x;x;x;x
31141;Statistik des Bauabgangs;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBW03UM;  Wohngebäude mit 3 oder mehr Wohnungen;x;x;x;x
31141;Statistik des Bauabgangs;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;WOHNHEIM;  Wohnheime;71;14;70;2000
31141;Statistik des Bauabgangs;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;WOHNGEBMETW;  Wohngebäude mit Eigentumswohnungen;-;-;-;-
31141;Statistik des Bauabgangs;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBANSTALT01;  Anstaltsgebäude;180;306;4;56
31141;Statistik des Bauabgangs;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBBUERO01;  Büro- und Verwaltungsgebäude;983;1136;37;459
31141;Statistik des Bauabgangs;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBBETRLW01;  Landwirtschaftliche Betriebsgebäude;2914;870;61;530
31141;Statistik des Bauabgangs;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBBETRNLW01;  Nichtlandwirtschaftliche Betriebsgebäude;4758;4007;111;1299
31141;Statistik des Bauabgangs;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBFABRIK01;  Fabrik- und Werkstattgebäude;1577;1679;26;279
31141;Statistik des Bauabgangs;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBHANDEL01;  Handelsgebäude;729;684;33;399
31141;Statistik des Bauabgangs;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBLAGER01;  Warenlagergebäude;1279;1027;20;194
31141;Statistik des Bauabgangs;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;HOTELSGAST;  Hotels und Gaststätten;499;298;25;330
31141;Statistik des Bauabgangs;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBNWOHNSONST01;  Sonstige Nichtwohngebäude;1169;735;19;231
